dataset,prototype,truth_class,observed_class,probability
CF,0,0,0,0.9333392560702033
CF,0,0,1,0.025064611802580124
CF,0,0,2,0.01757747605809293
CF,0,0,3,0.016832332622798936
CF,0,0,4,0.007186323446324725
CF,0,1,0,0.0470613104326553
CF,0,1,1,0.8369227216886304
CF,0,1,2,0.06985489506255972
CF,0,1,3,0.03782596752434278
CF,0,1,4,0.008335105291811746
CF,0,2,0,0.02304184107052236
CF,0,2,1,0.05873252496372781
CF,0,2,2,0.9002574429659698
CF,0,2,3,0.01398633815836279
CF,0,2,4,0.003981852841417312
CF,0,3,0,0.017098281025536767
CF,0,3,1,0.03296417946605833
CF,0,3,2,0.009258765633831227
CF,0,3,3,0.9364528531017291
CF,0,3,4,0.004225920772844559
CF,0,4,0,0.11772700381881378
CF,0,4,1,0.2271192817784607
CF,0,4,2,0.060646908679626056
CF,0,4,3,0.17178161183905138
CF,0,4,4,0.42272519388404817
CF,1,0,0,0.2518705858496107
CF,1,0,1,0.36426471738739047
CF,1,0,2,0.047445453254229476
CF,1,0,3,0.19882394901060282
CF,1,0,4,0.1375952944981666
CF,1,1,0,0.11879496178004116
CF,1,1,1,0.5065342165170065
CF,1,1,2,0.08574369530000216
CF,1,1,3,0.15986997291107427
CF,1,1,4,0.12905715349187583
CF,1,2,0,0.08808447793521368
CF,1,2,1,0.12940331502281294
CF,1,2,2,0.40601954045557354
CF,1,2,3,0.2408838047828305
CF,1,2,4,0.13560886180356926
CF,1,3,0,0.021294410038725228
CF,1,3,1,0.10355759814074754
CF,1,3,2,0.06931287368661601
CF,1,3,3,0.7170240499899289
CF,1,3,4,0.08881106814398232
CF,1,4,0,0.22359789495857826
CF,1,4,1,0.19701367928676286
CF,1,4,2,0.04334104180983023
CF,1,4,3,0.21272586061591042
CF,1,4,4,0.32332152332891817
MS,0,1,1,0.8573997564985103
MS,0,1,2,0.007524105112721118
MS,0,1,3,0.0056572210003846815
MS,0,1,4,0.05576986881972895
MS,0,1,5,0.004590084352107581
MS,0,1,6,0.0038886478438489762
MS,0,1,7,0.04460961012087552
MS,0,1,8,0.009449405950009187
MS,0,1,9,0.004297966417918026
MS,0,1,10,0.006813333883895596
MS,0,2,1,0.004434340825225943
MS,0,2,2,0.8947277342242617
MS,0,2,3,0.011769020788595963
MS,0,2,4,0.006981114633231972
MS,0,2,5,0.007672355820885564
MS,0,2,6,0.0050436486337941625
MS,0,2,7,0.03742810199506448
MS,0,2,8,0.02258403579296914
MS,0,2,9,0.003259183947851531
MS,0,2,10,0.006100463338119548
MS,0,3,1,0.005541922319822404
MS,0,3,2,0.005757512240584206
MS,0,3,3,0.8411368189751307
MS,0,3,4,0.1037037458526786
MS,0,3,5,0.005358677465714306
MS,0,3,6,0.011521724164470372
MS,0,3,7,0.00829753240038698
MS,0,3,8,0.007001400825650159
MS,0,3,9,0.0025584144166087524
MS,0,3,10,0.009122251338953388
MS,0,4,1,0.02492247135678649
MS,0,4,2,0.00529868055816036
MS,0,4,3,0.027412515938184837
MS,0,4,4,0.7830558170896503
MS,0,4,5,0.010126872979337708
MS,0,4,6,0.07795461963799193
MS,0,4,7,0.018871812153929902
MS,0,4,8,0.005384661664451885
MS,0,4,9,0.0045656918374177985
MS,0,4,10,0.04240685678408859
MS,0,5,1,0.005580292024842914
MS,0,5,2,0.02894830127584123
MS,0,5,3,0.004803543929937753
MS,0,5,4,0.0485886276594306
MS,0,5,5,0.8696438764783327
MS,0,5,6,0.010753259239215312
MS,0,5,7,0.008705625220352873
MS,0,5,8,0.007980695247928242
MS,0,5,9,0.00621510854812705
MS,0,5,10,0.008780670375991208
MS,0,6,1,0.012053439307449005
MS,0,6,2,0.01085508243041291
MS,0,6,3,0.012646575378289625
MS,0,6,4,0.06238846801484678
MS,0,6,5,0.005854660109239703
MS,0,6,6,0.7560526739129998
MS,0,6,7,0.021795921414631367
MS,0,6,8,0.0034631153345052903
MS,0,6,9,0.10990768112652283
MS,0,6,10,0.004982382971102656
MS,0,7,1,0.09606005976558465
MS,0,7,2,0.05118276140622054
MS,0,7,3,0.011948643137141618
MS,0,7,4,0.033652978657491936
MS,0,7,5,0.028534676819791955
MS,0,7,6,0.008636781916941188
MS,0,7,7,0.7460093514272735
MS,0,7,8,0.006368411417756242
MS,0,7,9,0.011886272744490481
MS,0,7,10,0.005720062707307827
MS,0,8,1,0.006405043061449207
MS,0,8,2,0.006625191747828585
MS,0,8,3,0.005209649413787181
MS,0,8,4,0.006401406572999128
MS,0,8,5,0.005814606285579798
MS,0,8,6,0.004608396524521301
MS,0,8,7,0.004470228875116366
MS,0,8,8,0.9522637650155673
MS,0,8,9,0.004580853437675371
MS,0,8,10,0.0036208590654757495
MS,0,9,1,0.011596298683486855
MS,0,9,2,0.006784612853723192
MS,0,9,3,0.006088030970260084
MS,0,9,4,0.01548494453607543
MS,0,9,5,0.009810208501716672
MS,0,9,6,0.17476133668116772
MS,0,9,7,0.008769501651367022
MS,0,9,8,0.012763039556860692
MS,0,9,9,0.7458433297839828
MS,0,9,10,0.008098696781359561
MS,0,10,1,0.0069413466815008654
MS,0,10,2,0.007662016873404855
MS,0,10,3,0.008809056316840862
MS,0,10,4,0.025067250571278128
MS,0,10,5,0.019066292614657115
MS,0,10,6,0.00535162817803415
MS,0,10,7,0.004725106606220033
MS,0,10,8,0.00424832453547276
MS,0,10,9,0.0036777785366074976
MS,0,10,10,0.9144511990859837
MS,1,1,1,0.12170252775199805
MS,1,1,2,0.0664079594753082
MS,1,1,3,0.0801260284680866
MS,1,1,4,0.09305418450669761
MS,1,1,5,0.1195520293387944
MS,1,1,6,0.07251264754429956
MS,1,1,7,0.14061123456168168
MS,1,1,8,0.11029736960629694
MS,1,1,9,0.0950597299118119
MS,1,1,10,0.10067628883502501
MS,1,2,1,0.06539723276578
MS,1,2,2,0.11597899989598599
MS,1,2,3,0.08415385713315907
MS,1,2,4,0.07125511845949017
MS,1,2,5,0.1169119047523295
MS,1,2,6,0.06958378959144636
MS,1,2,7,0.18766689281989643
MS,1,2,8,0.08278466570304978
MS,1,2,9,0.08545777359909179
MS,1,2,10,0.12080976527977104
MS,1,3,1,0.13892618207664187
MS,1,3,2,0.11386723878163119
MS,1,3,3,0.10496479868720951
MS,1,3,4,0.056275252447079795
MS,1,3,5,0.0791140114404673
MS,1,3,6,0.05173400661225552
MS,1,3,7,0.17230418925146412
MS,1,3,8,0.08299875649347957
MS,1,3,9,0.08047469719950677
MS,1,3,10,0.1193408670102644
MS,1,4,1,0.10884673096161333
MS,1,4,2,0.10116190272890106
MS,1,4,3,0.09041857348135356
MS,1,4,4,0.12770785076140528
MS,1,4,5,0.15543849642389487
MS,1,4,6,0.08818470503018543
MS,1,4,7,0.11727120050136934
MS,1,4,8,0.058786846095491854
MS,1,4,9,0.11326911224359658
MS,1,4,10,0.038914581772188865
MS,1,5,1,0.0480822526510862
MS,1,5,2,0.08974057343853067
MS,1,5,3,0.09040189253001282
MS,1,5,4,0.08763979395361676
MS,1,5,5,0.1668117431942785
MS,1,5,6,0.1038545916828256
MS,1,5,7,0.0998644473524155
MS,1,5,8,0.10081491453395738
MS,1,5,9,0.11017488338747886
MS,1,5,10,0.10261490727579765
MS,1,6,1,0.028233065829688285
MS,1,6,2,0.11640962472903237
MS,1,6,3,0.09919129856852746
MS,1,6,4,0.12868367930066796
MS,1,6,5,0.0984445702722938
MS,1,6,6,0.11870056529610501
MS,1,6,7,0.13336356259321316
MS,1,6,8,0.09804282663560848
MS,1,6,9,0.11259249933104838
MS,1,6,10,0.06633830744381518
MS,1,7,1,0.11154502767355262
MS,1,7,2,0.04304192319080156
MS,1,7,3,0.07695150797539631
MS,1,7,4,0.11002196737804446
MS,1,7,5,0.14463657815534253
MS,1,7,6,0.09065774537310273
MS,1,7,7,0.15853736846746033
MS,1,7,8,0.11602270634816941
MS,1,7,9,0.05313683969263072
MS,1,7,10,0.09544833574549949
MS,1,8,1,0.09095233237572004
MS,1,8,2,0.08326707193309392
MS,1,8,3,0.1018594046908698
MS,1,8,4,0.11168654636738466
MS,1,8,5,0.11249374731535425
MS,1,8,6,0.05067349479169066
MS,1,8,7,0.07303509217490403
MS,1,8,8,0.18332153328808312
MS,1,8,9,0.14070539104022042
MS,1,8,10,0.05200538602267908
MS,1,9,1,0.1296810289431023
MS,1,9,2,0.05037653328811897
MS,1,9,3,0.013114541465701467
MS,1,9,4,0.074035847237701
MS,1,9,5,0.1522846575086804
MS,1,9,6,0.13075843669103035
MS,1,9,7,0.1509402003204761
MS,1,9,8,0.0696406909818503
MS,1,9,9,0.1715626705247603
MS,1,9,10,0.05760539303857875
MS,1,10,1,0.1212025839456234
MS,1,10,2,0.07870021733107103
MS,1,10,3,0.10650567348065917
MS,1,10,4,0.09633829369030793
MS,1,10,5,0.12363873770054336
MS,1,10,6,0.09222259140804595
MS,1,10,7,0.07435649263945067
MS,1,10,8,0.06033418384053789
MS,1,10,9,0.09907185496997228
MS,1,10,10,0.14762937099378837
Dog,0,0,0,0.8066538574923305
Dog,0,0,1,0.17927568247805917
Dog,0,0,2,0.009561925407396562
Dog,0,0,3,0.004508534622213677
Dog,0,1,0,0.26105697611468387
Dog,0,1,1,0.7303020968516807
Dog,0,1,2,0.006631054650099721
Dog,0,1,3,0.0020098723835357012
Dog,0,2,0,0.01119741497126628
Dog,0,2,1,0.0055093069840147415
Dog,0,2,2,0.795648240247151
Dog,0,2,3,0.18764503779756794
Dog,0,3,0,0.004396480152508512
Dog,0,3,1,0.0011466815912048718
Dog,0,3,2,0.12242006867643672
Dog,0,3,3,0.87203676957985
Dog,1,0,0,0.6470903173260975
Dog,1,0,1,0.32324410998037817
Dog,1,0,2,0.020350002187454648
Dog,1,0,3,0.009315570506069628
Dog,1,1,0,0.2549894834444801
Dog,1,1,1,0.7084608263071156
Dog,1,1,2,0.026810089513245712
Dog,1,1,3,0.009739600735158567
Dog,1,2,0,0.044956593938118995
Dog,1,2,1,0.02284544986036209
Dog,1,2,2,0.7555350049404236
Dog,1,2,3,0.1766629512610953
Dog,1,3,0,0.019778548507018594
Dog,1,3,1,0.005806013323675048
Dog,1,3,2,0.5289136092228625
Dog,1,3,3,0.44550182894644386
Face,0,0,0,0.8401702743975664
Face,0,0,1,0.05022927681102291
Face,0,0,2,0.05519978619894166
Face,0,0,3,0.05440066259246904
Face,0,1,0,0.0620944134937591
Face,0,1,1,0.9188785996294238
Face,0,1,2,0.008423573248075142
Face,0,1,3,0.010603413628742078
Face,0,2,0,0.27227843376191785
Face,0,2,1,0.016154453380494364
Face,0,2,2,0.6312682114469735
Face,0,2,3,0.08029890141061415
Face,0,3,0,0.3084089095395669
Face,0,3,1,0.04772219455009438
Face,0,3,2,0.10165235764908884
Face,0,3,3,0.5422165382612498
Face,1,0,0,0.5927090062053983
Face,1,0,1,0.11134833033737863
Face,1,0,2,0.12068569440602793
Face,1,0,3,0.17525696905119517
Face,1,1,0,0.07339966676494543
Face,1,1,1,0.8734336175448288
Face,1,1,2,0.028470545193061983
Face,1,1,3,0.02469617049716385
Face,1,2,0,0.17573101076885475
Face,1,2,1,0.02331363093361774
Face,1,2,2,0.6183858604603344
Face,1,2,3,0.18256949783719315
Face,1,3,0,0.17311705596659216
Face,1,3,1,0.06243604857435098
Face,1,3,2,0.14121767761250897
Face,1,3,3,0.623229217846548
Adult,0,0,0,0.9683646845675504
Adult,0,0,1,0.021453405232909614
Adult,0,0,2,0.004666203852669974
Adult,0,0,3,0.005515706346870143
Adult,0,1,0,0.7198020629652013
Adult,0,1,1,0.23120848140063008
Adult,0,1,2,0.03590848152170838
Adult,0,1,3,0.013080974112460298
Adult,0,2,0,0.49900801727440164
Adult,0,2,1,0.158452547203499
Adult,0,2,2,0.18770357488147374
Adult,0,2,3,0.15483586064062577
Adult,0,3,0,0.27651751782829814
Adult,0,3,1,0.03138229797936253
Adult,0,3,2,0.06895167802628836
Adult,0,3,3,0.6231485061660509
Adult,1,0,0,0.8004963416900185
Adult,1,0,1,0.1432945031118319
Adult,1,0,2,0.03123305278423326
Adult,1,0,3,0.024976102413916394
Adult,1,1,0,0.212374527983448
Adult,1,1,1,0.5861652234155384
Adult,1,1,2,0.16895925366826073
Adult,1,1,3,0.03250099493275295
Adult,1,2,0,0.12101953045023502
Adult,1,2,1,0.23084883481064525
Adult,1,2,2,0.3930990067240087
Adult,1,2,3,0.25503262801511106
Adult,1,3,0,0.08224071397113153
Adult,1,3,1,0.055201333039150084
Adult,1,3,2,0.12372343967185132
Adult,1,3,3,0.7388345133178671
Web,0,1,1,0.6169435259543029
Web,0,1,2,0.19916334548503248
Web,0,1,3,0.0869375175268661
Web,0,1,4,0.05097137702537653
Web,0,1,5,0.045984234008421984
Web,0,2,1,0.16392049162196248
Web,0,2,2,0.5159589406798029
Web,0,2,3,0.18536804815824123
Web,0,2,4,0.08949970706426369
Web,0,2,5,0.045252812475729896
Web,0,3,1,0.051466161220138536
Web,0,3,2,0.17752284632812304
Web,0,3,3,0.5142822100305239
Web,0,3,4,0.19744425286829353
Web,0,3,5,0.059284529552920975
Web,0,4,1,0.029744447662860878
Web,0,4,2,0.059602654736875635
Web,0,4,3,0.220894897434701
Web,0,4,4,0.5823304681871062
Web,0,4,5,0.1074275319784562
Web,0,5,1,0.026312763773289605
Web,0,5,2,0.031523854790706685
Web,0,5,3,0.04340259555355115
Web,0,5,4,0.1001071133461903
Web,0,5,5,0.7986536725362622
Web,1,1,1,0.34290198357964474
Web,1,1,2,0.11505650665087569
Web,1,1,3,0.09419382959994022
Web,1,1,4,0.12580695460788968
Web,1,1,5,0.32204072556164964
Web,1,2,1,0.1176102391368243
Web,1,2,2,0.24019292629931183
Web,1,2,3,0.1319033211057406
Web,1,2,4,0.1542573058411662
Web,1,2,5,0.356036207616957
Web,1,3,1,0.04907298428002175
Web,1,3,2,0.08599283905333119
Web,1,3,3,0.22093775951301706
Web,1,3,4,0.18926694443782585
Web,1,3,5,0.45472947271580416
Web,1,4,1,0.03526729307855688
Web,1,4,2,0.04115149620057079
Web,1,4,3,0.09892224222968904
Web,1,4,4,0.30856114843585536
Web,1,4,5,0.516097820055328
Web,1,5,1,0.03793083151121209
Web,1,5,2,0.03634820260387964
Web,1,5,3,0.05349392948683152
Web,1,5,4,0.13281365038708276
Web,1,5,5,0.739413386010994
